internal_id;record_url;url;landing_page_url;origin_repository;origin_repository_url;document_type;degree_level;language;rights;search_hit_count;pdf_url;pdf_downloaded;pdf_page_count;pdf_text_char_count;manual_review_status;institution_normalized;institution_abbreviation;year;contributor;author;descricao_spatial;title;abstract;keywords;primary_subject;subject_label;subjects;primary_category;primary_category_label;categories;category_labels;category_rule_matches
oai-repositorium-uminho-pt-1822-96432;https://www.rcaap.pt/detail.jsp?id=oai:repositorium.uminho.pt:1822/96432;https://hdl.handle.net/1822/96432;https://repositorium.uminho.pt/entities/publication/ffbfcedb-a5e1-4068-9047-ed476ec57eef;RepositóriUM - Universidade do Minho;https://repositorium.uminho.pt;master thesis;mestrado;por;open access;1;https://repositorium.uminho.pt/bitstreams/72c6ef90-6cbc-4be6-98f4-c635b97db615/download;TRUE;69;97993;ready;Universidade do Minho;UMinho;2025;Portela, Filipe;Guimarães, Ricardo de Castro;Dissertação de mestrado (estágio) | Desenvolvimento de um protótipo de aplicação móvel com realidade aumentada para o Museu Arqueológico D. Diogo de Sousa, incluindo modelos 3D e fotografia de alta resolução dos objetos, seguindo metodologia híbrida Agile/Waterfall.;App de realidade aumentada para museus: design da interface gráfica;O presente relatório de estágio curricular integra-se no segundo semestre do segundo ano do Mestrado em Humanidades Digitais da Universidade do Minho, tendo este sido realizado junto do Museu Arqueológico D. Diogo de Sousa sob a orientação interna do Técnico Superior de Gestão de Coleções e Arquivo, Óscar Santos, por um período de três meses, compreendidos entre 2 de fevereiro e 30 de abril de 2024, sendo que o mesmo teve de ser posteriormente estendido por mais dois meses, tendo acabado no dia 30 de junho, perfazendo cinco meses. O objetivo fundamental deste projeto foi a aplicação das competências, conceitos e conhecimentos adquiridos na vertente da unidade curricular de Interfaces Web, e Análise e Visualização de Dados do presente mestrado, na criação de um design para uma aplicação móvel que consistiria numa integração de realidade aumentada através de uma aplicação móvel no contexto do museu onde ocorreu o estágio. Para tal, foi criado um protótipo de design, realizado num contexto de trabalho em equipa, seguindo uma metodologia de gestão de projetos híbrida entre Agile e Waterfall, o que permitiu estabelecer uma estrutura clara e organizada, característica da metodologia Waterfall, enquanto manteve a flexibilidade necessária devido à inexperiência da equipa e à natureza inédita do projeto, algo que a metodologia Agile proporciona. Ao longo do projeto, foram desenvolvidos quatro protótipos de design, sendo o último aprovado e entregue. Adicionalmente, foram realizadas tarefas complementares que resultaram na criação de 11 modelos 3D de alta qualidade dos objetos do museu, 298 fotografias em alta resolução dos mesmos, e na correção de cerca de 20 ficheiros armazenados no servidor-arquivo.;Design de aplicações | UX/UI | Aplicação móvel | Realidade aumentada | Museus | App design | Mobile application | Augmented reality | Museums;gamificacao_realidade_virtual;Gamificação e realidade virtual;Gamificação e realidade virtual | Património cultural digital;edicao_digital;Edição digital;edicao_digital | patrimonio_digital | humanidades_espaciais_gis | visualizacao_informacao | metodos_computacionais | ensino_formacao;Edição digital | Património digital | Humanidades espaciais / GIS | Visualização de informação | Métodos computacionais aplicados às humanidades | Ensino e formação;curso | humanidades digitais | museu | museus | patrimonio | património | sig | tei | visualizacao | visualizacao de dados | visualização | visualização de dados
oai-repositorium-uminho-pt-1822-96677;https://www.rcaap.pt/detail.jsp?id=oai:repositorium.uminho.pt:1822/96677;https://hdl.handle.net/1822/96677;https://repositorium.uminho.pt/entities/publication/e9d4a1a5-b6af-4360-a397-536237569b93;RepositóriUM - Universidade do Minho;https://repositorium.uminho.pt;master thesis;mestrado;por;open access;1;https://repositorium.uminho.pt/bitstreams/30619656-2974-470c-b508-25c0435f6c2a/download;TRUE;64;79962;ready;Universidade do Minho;UMinho;2025;Araújo, Sílvia | Correia-Neves, M;Leão, Inês Catarina Teixeira;Dissertação de mestrado (projeto) | Desenvolvimento de um website em WordPress para o projeto europeu PhD4Moz, criando uma plataforma intuitiva de divulgação de recursos informativos e formativos para doutorandos em Moçambique.;Comunicação digital do projeto europeu PhD4Moz: promovendo a formação doutoral em Ciências da Saúde em Moçambique;Este projeto curricular, inserido no Mestrado em Humanidades Digitais, teve como objetivo principal o desenvolvimento de um website para o projeto europeu PhD4Moz. A criação desta plataforma digital visou a divulgação de informações relevantes sobre o projeto, garantindo uma estética alinhada aos princípios do PhD4Moz. A responsabilidade principal consistiu na conceção e desenvolvimento do site utilizando a plataforma WordPress, abrangendo a seleção e produção de conteúdos adequados. O relatório apresenta uma introdução que descreve o projeto e as tarefas atribuídas. Segue-se uma revisão de literatura que aborda conceitos relacionados com comunicação digital, design de websites educativos, usabilidade, acessibilidade, design minimalista e interface do utilizador, bem como ferramentas digitais para a construção de sites. O relatório também descreve minuciosamente todas as etapas do processo de criação do website, desde a fase inicial de planeamento até à configuração atual, oferecendo uma visão clara do desenvolvimento. Este desenvolvimento resultou numa plataforma integrada e intuitiva que facilita a navegação e o acesso a informações pertinentes sobre o projeto. O site do PhD4Moz emerge como uma contribuição significativa para a disponibilização de recursos informativos e formativos destinados aos estudantes de doutoramento em Moçambique. É fundamental salientar que a interseção com as humanidades digitais reforçou a capacidade do site para satisfazer as necessidades do público-alvo, garantindo um impacto positivo na formação académica e profissional dos doutorandos.;PhD4Moz | Wordpress | Comunicação digital | Ciências da Saúde | Moçambique | Programa Doutoral | Digital communication | Health sciences | Mozambique | Doctoral Program;comunicacao_marketing;Comunicação e marketing digital;Comunicação e marketing digital | Educação e Literacia;edicao_digital;Edição digital;edicao_digital | humanidades_espaciais_gis | metodos_computacionais | ensino_formacao;Edição digital | Humanidades espaciais / GIS | Métodos computacionais aplicados às humanidades | Ensino e formação;aprendizagem | curso | ensino | humanidades digitais | inteligencia artificial | inteligência artificial | sig | tei
oai-repositorium-uminho-pt-1822-96676;https://www.rcaap.pt/detail.jsp?id=oai:repositorium.uminho.pt:1822/96676;https://hdl.handle.net/1822/96676;https://repositorium.uminho.pt/entities/publication/9f600e2d-0b19-409c-8b31-79c4ad44af39;RepositóriUM - Universidade do Minho;https://repositorium.uminho.pt;master thesis;mestrado;por;open access;1;https://repositorium.uminho.pt/bitstreams/11278552-0727-458e-bbfa-0bc1beaf6cf3/download;TRUE;54;74028;ready;Universidade do Minho;UMinho;2025;Araújo, Sílvia | Soares, Filomena;Santana, Ana Filipa Oliveira;Dissertação de mestrado (estágio) | Criação de uma identidade digital para o projeto de voluntariado UMinho em Campo, com recurso a IA Generativa, seguindo uma metodologia de Aprendizagem-Serviço para promover os valores humanistas da Universidade do Minho.;Comunicação multimodal do projeto UMinho em Campo com Inteligência Artificial Generativa;Este relatório, realizado no âmbito do Mestrado em Humanidades Digitais, decorre sob o projeto Voluntariado na UMinho - UMinho em Campo: Juntos na Transformação que tem por iniciativa da Universidade do Minho a pretensão de contribuir para a construção de um modelo de sociedade baseado em princípios humanistas, que tenha o saber, a criatividade e a inovação como fatores de crescimento, desenvolvimento sustentável, bem-estar e solidariedade, fundado no respeito pela dignidade da pessoa humana e a sua promoção. Assim, tem como objetivo a criação de uma identidade digital do projeto para a divulgação do mesmo utilizando a IA Generativa como auxílio de modo a tornar o trabalho mais rentável e perceber até que ponto a mesma consegue ir no que toma a criatividade e precisão. Estará também presente a metodologia abordada neste projeto sendo ela Aprendizagem-Serviço e como é que a mesma foi implementada neste contexto.;Aprendizagem-serviço | Comunicação multimodal | Criação de conteúdos | IA Generativa | Voluntariado | Content creation | Generative AI | Multimodal communication | Service-learning | Volunteering;comunicacao_marketing;Comunicação e marketing digital;Comunicação e marketing digital | Educação e Literacia;edicao_digital;Edição digital;edicao_digital | humanidades_espaciais_gis | metodos_computacionais | ensino_formacao;Edição digital | Humanidades espaciais / GIS | Métodos computacionais aplicados às humanidades | Ensino e formação;aprendizagem | curso | ensino | humanidades digitais | inteligencia artificial | inteligência artificial | machine learning | sig | tei
oai-repositorium-uminho-pt-1822-96672;https://www.rcaap.pt/detail.jsp?id=oai:repositorium.uminho.pt:1822/96672;https://hdl.handle.net/1822/96672;https://repositorium.uminho.pt/entities/publication/0fe9b6b9-cee0-4352-9761-b1139833b47a;RepositóriUM - Universidade do Minho;https://repositorium.uminho.pt;master thesis;mestrado;por;open access;1;https://repositorium.uminho.pt/bitstreams/eeed6512-dc22-4222-a063-19050fd6050d/download;TRUE;72;117219;ready;Universidade do Minho;UMinho;2025;Portela, Filipe;Guimarães, Filipa Cristina Alves;Dissertação de mestrado (estágio) | Estágio na iCognitus4ALL focado no desenvolvimento de competências em UI/UX e comunicação empresarial, com criação de protótipos em Figma e Canva, seguindo metodologia Kanban, no âmbito do Mestrado em Humanidades Digitais.;Contributo do design de experiência e de interface do utilizador para o marketing digital: uma experiência de estágio na iCognitus;Este relatório descreve o estágio curricular realizado na empresa iCognitus4ALL - IT Solutions, no âmbito do 2º ano de Mestrado em Humanidades Digitais, da Universidade do Minho. O Mestrado em Humanidades Digitais oferece uma abordagem multidisciplinar, combinando as humanidades com a tecnologia, permitindo a criação de soluções que equilibram inovação tecnológica com as necessidades e interações humanas. Neste sentido, a iCognitus é uma organização especializada no desenvolvimento de soluções tecnológicas inovadoras, que procura não só melhorar a educação, mas também desenvolver soluções tecnológicas eficazes. Durante este estágio, os conhecimentos adquiridos no Mestrado foram essenciais para o desenvolvimento de soluções visuais e funcionais que alinham tecnologia e experiência do utilizador. O estágio teve como objetivo desenvolver competências em design de interfaces de utilizador (UI), experiência do utilizador (UX) e comunicação empresarial. Para tal, foram desenvolvidos protótipos em Figma, design de conteúdos para websites e redes sociais, bem como propostas de identidade visual, como assinaturas de email e papel timbrado. A metodologia aplicada ao longo do estágio baseou-se no Kanban, uma vertente da metodologia Agile, que permitiu uma gestão flexível e eficiente das tarefas, garantindo a entrega de projetos de alta qualidade. Durante os quatro meses de estágio remoto, foram elaboradas 57 propostas de design no Canva e 20 no Figma, sendo que uma das propostas foi utilizada como base para um projeto real. Além disso, foram desenvolvidos conteúdos para websites, redes sociais, desdobráveis e apresentações, destacando a importância de uma comunicação empresarial consistente e visualmente atrativa. A experiência no estágio também proporcionou oportunidades de resolução de problemas de usabilidade e adaptação a novas ferramentas, consolidando a aprendizagem teórica em um ambiente profissional prático e desafiador. Em suma, o estágio na iCognitus representou uma valiosa oportunidade para aplicar as competências adquiridas durante o Mestrado em um ambiente profissional, expandindo também os conhecimentos em UX/UI, design gráfico e comunicação, contribuindo para o desenvolvimento de projetos impactantes e centrados no utilizador.;Figma | iCognitus | Marketing Digital | QuizOne | UX/UI design | Digital Marketing;comunicacao_marketing;Comunicação e marketing digital;Comunicação e marketing digital;edicao_digital;Edição digital;edicao_digital | humanidades_espaciais_gis | metodos_computacionais | ensino_formacao;Edição digital | Humanidades espaciais / GIS | Métodos computacionais aplicados às humanidades | Ensino e formação;aprendizagem | curso | disciplina | ensino | humanidades digitais | sig | tei
oai-run-unl-pt-10362-190217;https://www.rcaap.pt/detail.jsp?id=oai:run.unl.pt:10362/190217;http://hdl.handle.net/10362/190217;;Repositório Institucional da UNL;https://run.unl.pt;master thesis;mestrado;por;open access;3;;FALSE;0;0;metadata_only;Universidade Nova de Lisboa;UNL;2025;Telo, Paula Alexandra Ochôa de Carvalho;Gertrudes, Marta Marques Sousa Robalo;Dissertação de mestrado | Proposta do modelo MAI-CHD, uma framework multidimensional de avaliação de impacto para museus, integrando princípios de Curadoria Digital e Humanidades Digitais para superar as limitações dos modelos internacionais existentes.;Museus em Transformação: Análise dos Contributos da Curadoria e das Humanidades Digitais nos Modelos de Avaliação de Impacto;"A avaliação de impacto estabeleceu-se como uma ferramenta indispensável para compreender e demonstrar os benefícios gerados pelas instituições culturais, abrangendo dimensões sociais, culturais, económicas e ambientais. Contudo, dada a transformação digital dos museus, expandindo o seu alcance e modos de envolvimento, os modelos tradicionais de avaliação de impacto frequentemente falham em capturar todo o espetro de valor gerado, particularmente no que diz respeito a iniciativas digitais, preservação de dados e práticas participativas possibilitadas por ferramentas digitais. Este estudo procura responder à questão central: Quais os contributos da Curadoria Digital e das Humanidades Digitais nos modelos de avaliação de impacto dos museus e instituições culturais? Os objetivos da investigação incluem a análise documental, comparativa e crítica as limitações de frameworks internacionais estabelecidos – Europeana Impact Playbook, SoPHIA, ISO 16687:2025, MOI!, inDICEs, CSIRO –, a exploração das contribuições específicas dos princípios da Curadoria Digital (informada por modelos como o d-KISTI – gestão do ciclo de vida da informação) e das metodologias das Humanidades Digitais (análise de dados e abordagens participativas), e a proposta do Modelo de Avaliação de Impacto (MAI-CHD), uma framework de avaliação de impacto adaptada e multidimensional, adequada para museus, que integre indicadores digitais e participativos. Teoricamente, a investigação fundamenta-se em teorias de avaliação de impacto cultural aplicadas ao setor cultural, incluindo a Teoria da Mudança e modelos de cadeia de valor. Incorpora princípios da Curadoria Digital, particularmente modelos de ciclo de vida da informação e a conceptualização de objetos culturais como “informação-como-coisa”. Metodologias das Humanidades Digitais informam a análise do envolvimento digital e da cultura participativa, enquanto conceitos contextuais mais amplos como Open GLAM e a cultura como o quarto pilar da sustentabilidade fornecem contexto para a compreensão do papel e das responsabilidades em evolução dos museus. A análise indica que, embora as frameworks existentes ofereçam conhecimentos valiosos, frequentemente carecem de integração suficiente da eficácia da Curadoria Digital, de métricas digitais robustas e de métodos de avaliação participativa. A framework proposta integra 5 dimensões centrais, 18 sub-dimensões e aproximadamente 45 indicadores específicos (Ecossistema Digital e Informacional; Participação e Cocriação; Impacto Sociocultural e Educacional; Cultura como Pilar da Sustentabilidade; e Inovação e Colaboração Interdisciplinar). Esta investigação sugere que a integração das práticas de Curadoria Digital e Humanidades Digitais não só fortalece a capacidade dos museus de demonstrar o seu papel transformador social, cultural e informacional, mas também confirma que é possível e desejável integrar indicadores de impacto específicos que meçam estas áreas cruciais de operação e criação de valor, tais como Envolvimento Digital, Curadoria da Informação, Cocriação e Alcance Sociocultural. As conclusões esperadas destacam que tal framework híbrida fomenta uma melhor prestação de contas, um planeamento estratégico mais informado, aborda melhor os desafios da transformação e preservação digital e alinha a avaliação museológica com objetivos de desenvolvimento sustentável mais amplos, aumentando, em última análise, a sua relevância e impacto na sociedade contemporânea.";Avaliação de Impacto | Impact Assessment | Museus | Museums | Curadoria Digital | Digital Curation | Humanidades Digitais | Digital Humanities;patrimonio_cultural_digital;Património cultural digital;Património cultural digital;patrimonio_digital;Património digital;patrimonio_digital | preservacao_digital | metodos_computacionais | ensino_formacao;Património digital | Preservação digital | Métodos computacionais aplicados às humanidades | Ensino e formação;curadoria digital | disciplina | humanidades digitais | museu | museus | preservacao digital | preservação digital
oai-repositorio-ulisboa-pt-10400-5-96907;https://www.rcaap.pt/detail.jsp?id=oai:repositorio.ulisboa.pt:10400.5/96907;http://hdl.handle.net/10400.5/96907;https://repositorio.ulisboa.pt/entities/publication/d9e91ebd-1bac-44cf-b4ec-37a94e0d8da6;Repositório da Universidade de Lisboa;https://repositorio.ulisboa.pt/;master thesis;mestrado;por;open access;1;https://repositorio.ulisboa.pt/bitstreams/400fa8e2-211a-4d35-b91c-53a00c47c080/download;TRUE;119;213072;ready;Universidade de Lisboa;ULisboa;2025;Costa, Maria Teresa;Tomás, Rui Manuel Ribeiro;Dissertação de mestrado | Proposta de projeto de digitalização e disponibilização em linha do acervo de Livro Antigo da Biblioteca Municipal Fernando Piteira Santos, na Amadora, para preservar, valorizar e promover coleções especiais dos séculos XVII a XIX.;O livro antigo na Biblioteca Municipal Fernando Piteira Santos : projeto de coleção digital;"Este trabalho visa elaborar uma proposta de projeto de digitalização e disponibilização em linha (coleção digital) de uma coleção de obras antigas e, em alguns casos, raras (Livro Antigo), que fazem parte do acervo da Biblioteca Municipal Fernando Piteira Santos, no município da Amadora. É um conjunto de livros que se situam cronologicamente entre os séculos XVII e XIX (até 1820) e que integram as coleções especiais da instituição, como o “Fundo Piteira Santos” e a coleção de “Reservados”. Com a proposta de digitalização e disponibilização da coleção digital de Livro Antigo, pretende-se, por um lado, contribuir para o maior conhecimento, difusão cultural do Livro Antigo e sua valorização na área das humanidades digitais, bem como promover as coleções especiais desta biblioteca pública junto da comunidade, nomeadamente parte do espólio que constitui o Fundo Fernando Piteira Santos, patrono da Biblioteca e figura importante da história local; e por outro lado, contribuir para a preservação deste fundo, uma vez que se trata de uma coleção antiga e rara, podendo a manipulação dos originais provocar potencialmente danos nas obras. Em suma, o que está em causa é para além da valorização, a disponibilização por via da digitalização e do acesso em linha, de uma parte histórica da coleção da Biblioteca Fernando Piteira Santos, contribuindo para promover e dinamizar as coleções especiais da instituição. É objetivo deste estudo criar uma proposta de projeto realista e exequível com os meios técnicos e humanos existentes na Biblioteca detentora deste fundo. Para a sua elaboração foram consultadas normas, diretrizes e recomendações e foram analisados os projetos já existentes com o mesmo tipo de coleção, seguindo assim as boas práticas já implementadas em Portugal, nomeadamente a experiência da Biblioteca Nacional e a da Biblioteca do Exército.";;patrimonio_cultural_digital;Património cultural digital;Património cultural digital;arquivos_bibliotecas_digitais;Arquivos e bibliotecas digitais;arquivos_bibliotecas_digitais | edicao_digital | patrimonio_digital | humanidades_espaciais_gis | metodos_computacionais | ensino_formacao;Arquivos e bibliotecas digitais | Edição digital | Património digital | Humanidades espaciais / GIS | Métodos computacionais aplicados às humanidades | Ensino e formação;biblioteca digital | catalogo | catálogo | colecao digital | coleção digital | curso | gis | humanidades digitais | metadados | sig | tei
oai-repositorio-ulisboa-pt-10400-5-97087;https://www.rcaap.pt/detail.jsp?id=oai:repositorio.ulisboa.pt:10400.5/97087;http://hdl.handle.net/10400.5/97087;https://repositorio.ulisboa.pt/entities/publication/f9a1285a-3aa2-4a29-b040-8bc5bb2c0223;Repositório da Universidade de Lisboa;https://repositorio.ulisboa.pt/;master thesis;mestrado;por;open access;2;https://repositorio.ulisboa.pt/bitstreams/0798f20a-5d2d-43d5-a11a-8b588b7111c9/download;TRUE;120;187268;ready;Universidade de Lisboa;ULisboa;2025;Viana, Cláudia Morais | Rocha, Fernando Jorge Pedro da Silva Pinto da;Carvalho, Diogo Filipe Ferreira de;Dissertação de mestrado | Análise de padrões agroecológicos históricos em Portugal Continental nos anos 1950, combinando IA, OCR, ChatGPT e SIG para extrair e cartografar dados de 163 inquéritos agrícolas, contribuindo para práticas agrícolas mais sustentáveis.;Padrões agroecológicos históricos em Portugal Continental: uma abordagem com Inteligência Artificial e SIG;Esta dissertação explora como a Inteligência Artificial (IA) e os Sistemas de Informação Geográfica (SIG) podem contribuir para a análise de padrões agroecológicos históricos em Portugal Continental na década de 1950. De forma inovadora, combina Reconhecimento Ótico de Caracteres (OCR) e modelos de linguagem avançados, como o ChatGPT, para melhorar a extração e análise de dados históricos. Utilizando técnicas de NLP, text mining e aprendizagem automática, analisa 163 inquéritos agrícolas para compreender especificidades regionais e criar mapas agrícolas detalhados. A estrutura da dissertação abrange cinco capítulos. O Capítulo I apresenta o enquadramento teórico, destacando a relevância do estudo no contexto das alterações climáticas e da necessidade de práticas agrícolas mais sustentáveis. No Capítulo II, examina-se o papel da IA e dos SIG no apoio às humanidades digitais, com foco nas aplicações de OCR, Spatial Data Mining e ChatGPT para a análise de textos históricos. O Capítulo III detalha os dados e a metodologia, incluindo a digitalização, tratamento cartográfico e análise textual. O Capítulo IV apresenta os resultados, destacando a produção de mapas agrícolas e a identificação de padrões agroecológicos regionais. Por fim, no Capítulo V, conclui-se com as implicações desta abordagem interdisciplinar para a agricultura sustentável. A principal inovação reside na aplicação pioneira, em Portugal, da integração de OCR e ChatGPT para análise de fontes históricas. Esta combinação permite uma extração e interpretação de dados mais eficiente e precisa, contribuindo para o avanço da investigação histórica e oferecendo novas perspetivas para o desenvolvimento agrícola. Além de reforçar o uso de tecnologias modernas em contextos históricos, esta abordagem tem potencial impacto internacional, promovendo novas formas de estudar e interpretar o passado agrícola para orientar práticas futuras.;K-means | Reconhecimento Ótico de Caracteres | Análise espacial | Humanidades digitais | Informação histórica;territorio_comunidades;Território e comunidades;Território e comunidades | Análise e visualização de dados;edicao_digital;Edição digital;edicao_digital | humanidades_espaciais_gis | analise_textual_nlp | metodos_computacionais | ensino_formacao;Edição digital | Humanidades espaciais / GIS | Análise textual e NLP | Métodos computacionais aplicados às humanidades | Ensino e formação;analise textual | análise textual | aprendizagem | aprendizagem automatica | aprendizagem automática | curso | disciplina | gis | humanidades digitais | inteligencia artificial | inteligência artificial | machine learning | natural language processing | nlp | sig | sistemas de informacao geografica | sistemas de informação geográfica | tei | text mining
oai-run-unl-pt-10362-181868;https://www.rcaap.pt/detail.jsp?id=oai:run.unl.pt:10362/181868;http://hdl.handle.net/10362/181868;;Repositório Institucional da UNL;https://run.unl.pt;doctoral thesis;doutoramento;por;open access;1;;FALSE;0;0;metadata_only;Universidade Nova de Lisboa;UNL;2025;Silva, João Paulo Ascenso Pereira da;Bispo, Jéssica Iolanda Costa;Tese de doutoramento | Análise da transgressão de género e infância nas Alices de Lewis Carroll e nas suas adaptações a videojogos, demonstrando como os jogos digitais expandem a agência subversiva da protagonista no contexto dos Estudos Literários e de Videojogos.;Por Entre Espelhos, Covas e Ecrãs: a Criança Transgressiva de Lewis Carroll e suas Reinterpretações no Videojogo;Partindo de uma leitura e análise de Alice’s Adventures In Wonderland (1865) e Alice Through The Looking Glass (1871) de Lewis Carroll, a presente tese explora detalhadamente três videojogos – American McGee’s Alice (2000), Alice: Madness Returns (2011) e Fran Bow (2015) – que se constituem como adaptações destas obras literárias, tendo como principal objectivo demonstrar como a criança protagonista de todos estes objectos de estudo é transgressiva, com as adaptações aos jogos digitais a favorecerem esta vertente e a expandirem a agência e capacidade subversiva de Alice. Para efectuar esta análise, é tomado em consideração o panorama sociocultural e literário britânico no século XIX, em concreto, no período que se convencionou denominar por Era Vitoriana. São exploradas, essencialmente, transgressões às concepções de infância e de género que imperavam neste contexto temporal e espacial. Esta investigação encontra-se alicerçada nas áreas dos Estudos Literários e de Cultura, articulando-se, contudo, com metodologias e molduras teóricas desenvolvidas no seio dos Estudos sobre Videojogos, Estudos de Adaptação, e Estudos Vitorianos e Neovitorianos. Contribui, assim, para o desenvolvimento destas áreas de estudo, bem como para a promoção da consideração do videojogo como objecto de estudo académico.;Videojogo | Infância | Transgressão | Lewis Carroll | Era Vitoriana | Humanidades Digitais | Literatura Inglesa | Cultura Inglesa | Victorian Era | Neo-Victorianism | Childhood | Gender | Video Game | Adaptation | Neovitorianismo | Adaptação;gamificacao_realidade_virtual;Gamificação e realidade virtual;Gamificação e realidade virtual |Estudos literários;metodos_computacionais;Métodos computacionais aplicados às humanidades;metodos_computacionais;Métodos computacionais aplicados às humanidades;humanidades digitais
oai-repositorium-uminho-pt-1822-96442;https://www.rcaap.pt/detail.jsp?id=oai:repositorium.uminho.pt:1822/96442;https://hdl.handle.net/1822/96442;https://repositorium.uminho.pt/entities/publication/94121a8f-18f6-4ca4-8f4a-6c84760ed3b6;RepositóriUM - Universidade do Minho;https://repositorium.uminho.pt;master thesis;mestrado;por;open access;2;https://repositorium.uminho.pt/bitstreams/6faaf3cf-cbea-40ca-a5ad-4d8ed2bb8c34/download;TRUE;141;275005;ready;Universidade do Minho;UMinho;2025;Araújo, Sílvia;Mota, Rômulo Sherman Magalhães;Dissertação de mestrado | Desenvolvimento e avaliação do RELIA, uma ferramenta baseada em IA para facilitar a leitura crítica e interpretativa de obras literárias no ensino superior, promovendo maior engajamento, autonomia e aprendizagem reflexiva.;RELIA: Roteiro empático de leitura com Inteligência Artificial;A leitura literária enfrenta desafios significativos na era digital, incluindo a fragmentação da atenção e a dificuldade de engajamento com textos complexos. Esta dissertação propõe o RELIA (Roteiro Empático de Leitura com Inteligência Artificial), uma abordagem inovadora que integra inteligência artificial (IA) para facilitar a leitura crítica e interpretativa de obras literárias. O estudo baseia-se na Taxonomia de Bloom revisada e nas Humanidades Digitais, explorando como a tecnologia pode enriquecer o processo de leitura sem comprometer sua profundidade. A metodologia adotada segue um modelo de Pesquisa e Desenvolvimento Iterativo, combinando revisão bibliográfica, desenvolvimento tecnológico e experimentação com utilizadores. O sistema RELIA foi testado com estudantes do ensino superior, avaliando sua usabilidade, impacto na compreensão textual e contribuição para a autonomia do leitor. Os resultados indicam que a ferramenta melhora o engajamento, amplia a interpretação das obras e promove uma experiência interativa e personalizada. Dessa forma, esta dissertação contribui para a intersecção entre literatura e tecnologia, destacando o potencial da IA na mediação da leitura e na promoção de um aprendizado mais reflexivo e acessível.;Leitura literária | Inteligência Artificial | Humanidades Digitais | Taxonomia de Bloom | Ensino da Literatura | Literary reading | Artificial Intelligence | Digital Humanities, | Bloom’s Taxonomy | Literature Teaching;educacao_literacia;Educação e Literacia;Educação e Literacia;edicao_digital;Edição digital;edicao_digital | humanidades_espaciais_gis | analise_textual_nlp | metodos_computacionais | ensino_formacao;Edição digital | Humanidades espaciais / GIS | Análise textual e NLP | Métodos computacionais aplicados às humanidades | Ensino e formação;analise textual | análise textual | aprendizagem | curso | disciplina | ensino | humanidades digitais | inteligencia artificial | inteligência artificial | modulo | módulo | sig | tei
oai-repositorium-uminho-pt-1822-96327;https://www.rcaap.pt/detail.jsp?id=oai:repositorium.uminho.pt:1822/96327;https://hdl.handle.net/1822/96327;https://repositorium.uminho.pt/entities/publication/bd8c2184-bcea-409e-a40c-74feec5fb58f;RepositóriUM - Universidade do Minho;https://repositorium.uminho.pt;master thesis;mestrado;por;open access;2;https://repositorium.uminho.pt/bitstreams/3eae3b96-f0ba-459d-9030-a39246ce41c5/download;TRUE;120;184287;ready;Universidade do Minho;UMinho;2025;Almeida, J. J.;Barata, Tiago Manuel Queirós;Dissertação de mestrado | Desenvolvimento de um sistema operativo baseado em ontologias (OBOS), inspirado na filosofia Unix, para simplificar a gestão, edição e visualização de dados ontológicos nas humanidades digitais e outras áreas do conhecimento.;Sistema operativo orientado às ontologias;Esta tese apresenta o desenvolvimento e a exploração de um sistema operativo baseado em ontologias (OBOS), que integra as funcionalidades e a simplicidade das ferramentas inspiradas em Unix com o ambiente de dados estruturados das ontologias. A principal motivação por trás deste sistema é melhorar a gestão e manipulação de dados ontológicos nas humanidades digitais e outros domínios onde a representação estruturada do conhecimento é crucial. O OBOS aproveita operações pequenas e simples — semelhantes aos comandos Unix — que podem ser combinadas para realizar tarefas complexas, aderindo assim à filosofia Unix de ”fazer bem uma coisa”. Elementos-chave do sistema incluem a verificação da integridade das ontologias, a extração de propriedades e tipos envolvidos em ontologias, e a conversão de diversos formatos de dados em ontologias para facilitar o arquivamento digital e a gestão de dados. Além disso, o OBOS introduz um editor de ontologias projetado para simplificar as interações dos utilizadores com estruturas ontológicas complexas, fornecendo ferramentas para uma pesquisa eficaz, edição e visualização de dados. A arquitetura do sistema permite expansões modulares e interoperabilidade com formatos de dados e sistemas existentes, tornando-o uma ferramenta versátil para ambientes académicos e profissionais. Integrando funcionalidades como pesquisa baseada em ontologias, edição e conversão de saída (para formatos como HTML e PDF), o OBOS pretende transformar a forma como as ontologias são utilizadas, tornando-as mais acessíveis e eficazes para os utilizadores de diversas áreas.;Sistema operativo orientado às ontologias | Humanidades digitais | Filosofia Unix | Representação do conhecimento | Integração de dados | Gestão de ontologias | Ontology-oriented operating system | Digital humanities | Unix philosophy | Knowledge representation | Data integration | Ontology management;representacao_conhecimento_ontologias;Representação do Conhecimento e Ontologias;Representação do Conhecimento e Ontologias;edicao_digital;Edição digital;edicao_digital | humanidades_espaciais_gis | visualizacao_informacao | metodos_computacionais | ensino_formacao;Edição digital | Humanidades espaciais / GIS | Visualização de informação | Métodos computacionais aplicados às humanidades | Ensino e formação;aprendizagem | curso | humanidades digitais | modulo | módulo | sig | tei | text encoding initiative | visualizacao | visualizacao de dados | visualização | visualização de dados
